Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
Do concurrent task demands impact the benefit of automation transparency?,"Tatasciore, M.; Bowden, V.; Loft, S.",Applied Ergonomics,2023,110,,,10.1016/j.apergo.2023.104022,"Automated decision aids typically improve decision-making, but incorrect advice risks automation misuse or disuse. We examined the novel question of whether increased automation transparency improves the accuracy of automation use under conditions with/without concurrent (non-automated assisted) task demands. Participants completed an uninhabited vehicle (UV) management task whereby they assigned the best UV to complete missions. Automation advised the best UV but was not always correct. Concurrent non-automated task demands decreased the accuracy of automation use, and increased decision time and perceived workload. With no concurrent task demands, increased transparency which provided more information on how the automation made decisions, improved the accuracy of automation use. With concurrent task demands, increased transparency led to higher trust ratings, faster decisions, and a bias towards agreeing with automation. These outcomes indicate increased reliance on highly transparent automation under conditions with concurrent task demands and have potential implications for human-automation teaming design. © 2023 The Authors",Automation transparency; Concurrent task demands; Decision support systems; Uninhabited vehicle control; Automation; Bias; Humans; Man-Machine Systems; Task Performance and Analysis; Trust; Workload; Artificial intelligence; Concurrency control; Control system synthesis; Decision making; Transparency; Automated decision aid; Concurrent task demand; Concurrent tasks; Condition; Decisions makings; Task demand; Vehicle Control; Vehicles managements; adult; article; decision support system; female; human; human experiment; male; man machine interaction; statistical bias; task performance
Enhancing the effectiveness of human-robot teaming with a closed-loop system,"Teo, G.; Reinerman-Jones, L.; Matthews, G.; Szalma, J.; Jentsch, F.; Hancock, P.",Applied Ergonomics,2018,67,,91-103,10.1016/j.apergo.2017.07.007,"With technological developments in robotics and their increasing deployment, human-robot teams are set to be a mainstay in the future. To develop robots that possess teaming capabilities, such as being able to communicate implicitly, the present study implemented a closed-loop system. This system enabled the robot to provide adaptive aid without the need for explicit commands from the human teammate, through the use of multiple physiological workload measures. Such measures of workload vary in sensitivity and there is large inter-individual variability in physiological responses to imposed taskload. Workload models enacted via closed-loop system should accommodate such individual variability. The present research investigated the effects of the adaptive robot aid vs. imposed aid on performance and workload. Results showed that adaptive robot aid driven by an individualized workload model for physiological response resulted in greater improvements in performance compared to aid that was simply imposed by the system. © 2017 Elsevier Ltd",Adaptive systems; Inter-individual variability; Workload model; Humans; Man-Machine Systems; Robotics; Task Performance and Analysis; Teach-Back Communication; Workload; Closed loop systems; Physiological models; Physiology; Human robots; Human-robot-team; Individual variability; Physiological response; Taskload; Technological development; Work-load models; human; interpersonal communication; man machine interaction; procedures; task performance; Robots
Emotional and cognitive influences in air traffic controller tasks: An investigation using a virtual environment?,"Truschzinski, M.; Betella, A.; Brunnett, G.; Verschure, Pfmj",Applied Ergonomics,2018,69,,1-9,10.1016/j.apergo.2017.12.019,"Air traffic controllers are required to perform complex tasks which require attention and high precision. This study investigates how the difficulty of such tasks influences emotional states, cognitive workload and task performance. We use quantitative and qualitative measurements, including the recording of pupil dilation and changes in affect using questionnaires. Participants were required to perform a number of air traffic control tasks using the immersive human accessible Virtual Reality space in the ""eXperience Induction Machine"". Based on the data collected, we developed and validated a model which integrates personality, workload and affective theories. Our results indicate that the difficulty of an air traffic control task has a direct influence on cognitive workload as well as on the self-reported mood; whereas both mood and workload seem to change independently. In addition, we show that personality, in particular neuroticism, affects both mood and performance of the participants.",Air traffic control; Personality; Workload; Mood; Virtual reality; personality dimensions; decision-making; mental workload; working-memory; reality; performance; neuroticism; paradigm; stress; mood; Engineering; Psychology
Machine learning for automation usage prediction: identifying critical factors in driver decision-making,"Bustamante Orellana, C.; Rodriguez Rodriguez, L.; Huang, L.; Cooke, N.; Kang, Y.",Applied Intelligence,2025,55,1,,10.1007/s10489-024-06052-2,"Inappropriate automation usage is a common cause of incidents in semi-autonomous vehicles. Predicting and understanding the factors influencing this usage is crucial for safety. This study aims to evaluate machine learning models in predicting automation usage from behavioral data; and analyze how workload, environment, performance, and risk influence automation usage for different conditions. An existing dataset from a driving simulator study with 16 participants across four automation conditions (Speed High, Speed Low, Full High, and Full Low) was used. Five machine learning models were trained, using different splitting techniques, to predict automation usage. The input to these models were features related to workload, environment, performance, and risk, pre-processed and optimized to reduce computational time. The best-performing model was used to analyze the impact of each factor on automation usage. Random Forest models consistently demonstrated the highest prediction power, with accuracy exceeding 79% for all conditions, providing a robust foundation for enhancing vehicle safety and optimizing human-automation collaboration. Additionally, factors influencing automation usage ranked: Workload>Environment>Performance>Risk., contrasting with literature on pre-drive intentions to use automation. This study offers insights into real-time prediction of automation usage in semi-autonomous vehicles and quantifies the importance of key factors across different automation conditions. The findings reveal variations in prediction accuracy and factor importance across conditions, providing valuable implications for adaptive automated driving system design. Additionally, the hierarchy of factors influencing automation usage reveals a contrast between real-time decisions and pre-drive intentions, emphasizing the need for adaptive systems in dynamic driving conditions. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Automation usage prediction; Factors influencing automation usage; Machine learning; Varied automation conditions; Adversarial machine learning; Automobile driver simulators; Automobile simulators; Contrastive Learning; Magnetic levitation vehicles; Prediction models; Risk analysis; Automation conditions; Condition; Critical factors; Factor influencing automation usage; Machine learning models; Machine-learning; Performance; Semi-autonomous vehicles; Varied automation condition; Risk assessment
Social decision-making in a large-scale MultiAgent system considering the influence of empathy,"Chen, J. Z.; Liu, B.; Zhang, D. L.; Qu, Z. S.; Wang, C. H.",Applied Intelligence,2023,53,9,10068-10095,10.1007/s10489-022-03933-2,"Empathy is the ability to spontaneously or purposefully place oneself in another's situation. Under the continuous effect of empathy, an individual's preference for things will inevitably be affected by the local and non-local social environment. Inspired by neuropsychology, this paper constructs an extended empathy model to compensate for the shortcomings of previous models in describing the global preference (utility) coupling between individuals, and analyzes how to make efficient decisions based on this model in a large-scale multiagent system. Empathy is abstracted as a random experience process in the form of nonstationary Markov chains, and empathetic utility is defined as the expectation of preference experienced under the corresponding transition probability distribution. By structurally introducing the self-other separation mechanism and energy attenuation mechanism, the model can exhibit social attributes, including absorbency, inhibition, and anisotropy. An extended iterative candidate elimination (EICE) algorithm is designed for the decision problem defined by the proposed model. This algorithm correlates the error upper bound of the objective function with that of the empathy utility to perform the iterative estimation of the candidate strategies. For a polynomial objective function, the EICE under affective empathy can reduce the algorithm complexity from O (n(x)) to O (n(y)) (1 <= y <= 2 <= x <= 3). In terms of application prospects, the model and the corresponding decision algorithm are proved to be not only suitable for human society but also able to match the engineering application scenarios such as human-machine interaction and unmanned aerial vehicle (UAV) formation under specific requirements.",Decision-making; Empathy; Nonstationary Markov chain; Multiagent system; altruism; Computer Science
Modeling adaptive empathy based on neutral assessment: a way to enhance the prosocial behaviors of socialized agents under the premise of self-security,"Chen, J. Z.; Zhang, D. L.; Qu, Z. S.; Wang, C. H.",Applied Intelligence,2022,52,6,6692-6722,10.1007/s10489-021-02712-9,"Ethical concerns over artificial intelligence (AI) have recently drawn extensive interest in both academia and industry. According to behavioral economics and neuropsychology, empathy may be an inherent mechanism to elicit prosocial behaviors. Therefore, we establish a three-layer general framework of empathetic AI (eAI) with emotion, empathy, and decision-making. By introducing different sub-models, three learning structures based on eAI are proposed, including a gradient ascent (GA)-based structure, an adaptive learning structure, and a practical learning structure. The dynamics of the first two structures are analyzed theoretically, and the practical dynamics are tested in games. We prove that in the prisoner's dilemma (PD) environment, the GA-based eAI with neutral assessment can carry out adaptive cooperation and competition under the premise of self-security. In addition, although the modeling of empathy by extracting the emotional contagion and limited cognitive regulation is simplified and primitive, tests in the prisoner's dilemma, the ultimatum game, and a multi-agent dilemma game, show that the eAI structure successfully elicits prosocial behaviors including altruism, cooperation and fairness. Compared with other socialized algorithms, the eAI structure has a more comprehensive coverage in terms of convergence, fairness, security, adaptability, and structural expansibility. Therefore, we believe this work can provide novel methods and insights for regulating the behaviors of socialized agents, as well as artificial subjects in psychological and economic experiments.",Adaptive empathy; Prosocial behaviors; Multi-agent reinforcement; learning; Cooperation and competition; decision-making; evolution; happiness; altruism; emotion; income; game; Computer Science
Integrating short-term stochastic production planning updating with mining fleet management in industrial mining complexes: an actor-critic reinforcement learning approach,"de Carvalho, J. P.; Dimitrakopoulos, R.",Applied Intelligence,2023,53,20,23179-23202,10.1007/s10489-023-04774-3,"Short-term production planning in industrial mining complexes involves defining daily, weekly or monthly decisions that aim to achieve production targets established by long-term planning. Operational requirements must be considered when defining fleet allocation and production scheduling decisions. Thus, this paper presents an actor-critic reinforcement learning (RL) method to make mining equipment allocation and production scheduling decisions that maximize the profitability of a mining operation. Two RL agents are proposed. The first agent allocates shovels to mining fronts by considering some operational requirements. The second agent defines the processing destination and the number of trucks required for transportation. A simulator of mining complex operations is proposed to forecast the material flow from the mining fronts to the destinations. This simulator provides new states and rewards to the RL agents, so shovel allocation and production scheduling decisions can be improved. Additionally, as the mining complex operates, sensors collect ore quality data, which are used to update the uncertainty associated with the orebody models. The improvement in material supply characterization allows the RL agents to make more informed decisions. A case study applied at a copper mining complex highlights the method's ability to make informed decisions while collecting new data. The results show a 47% improvement in cash flow by adapting the shovel and truck allocation and material destination compared to a base case with predefined fleet assignments.",Mining complexes; Adaptive stochastic short-term planning; Mining fleet; management; Data assimilation; Reinforcement learning; optimization; simulation; information; go; Computer Science
Adaptive and dynamic ant colony search algorithm for optimal distribution systems reinforcement strategy,"Favuzza, S.; Graditi, G.; Sanseverino, E. R.",Applied Intelligence,2006,24,1,31-42,10.1007/s10489-006-6927-y,"The metaheuristic technique of Ant Colony Search has been revised here in order to deal with dynamic search optimization problems having a large search space and mixed integer variables. The problem to which it has been applied is an electrical distribution systems management problem. This kind of issues is indeed getting increasingly complicated due to the introduction of new energy trading strategies, new environmental constraints and new technologies. In particular, in this paper, the problem of finding the optimal reinforcement strategy to provide reliable and economic service to customers in a given time frame is investigated. Utilities indeed need efficient software tools to take decisions in this new complex scenario. In past times, utilities project the load growth for several years and then estimate when the capacity limit will be exceeded. Designers then consider some feasible alternatives and select the optimal one in terms of performance and costs.",
Explaining predictions and attacks in federated learning via random forests,"Haffar, R.; Sánchez, D.; Domingo-Ferrer, J.",Applied Intelligence,2023,53,1,169-185,10.1007/s10489-022-03435-1,"Artificial intelligence (AI) is used for various purposes that are critical to human life. However, most state-of-the-art AI algorithms are black-box models, which means that humans cannot understand how such models make decisions. To forestall an algorithm-based authoritarian society, decisions based on machine learning ought to inspire trust by being explainable. For AI explainability to be practical, it must be feasible to obtain explanations systematically and automatically. A usual methodology to explain predictions made by a (black-box) deep learning model is to build a surrogate model based on a less difficult, more understandable decision algorithm. In this work, we focus on explaining by means of model surrogates the (mis)behavior of black-box models trained via federated learning. Federated learning is a decentralized machine learning technique that aggregates partial models trained by a set of peers on their own private data to obtain a global model. Due to its decentralized nature, federated learning offers some privacy protection to the participating peers. Nonetheless, it remains vulnerable to a variety of security attacks and even to sophisticated privacy attacks. To mitigate the effects of such attacks, we turn to the causes underlying misclassification by the federated model, which may indicate manipulations of the model. Our approach is to use random forests containing decision trees of restricted depth as surrogates of the federated black-box model. Then, we leverage decision trees in the forest to compute the importance of the features involved in the wrong predictions. We have applied our method to detect security and privacy attacks that malicious peers or the model manager may orchestrate in federated learning scenarios. Empirical results show that our method can detect attacks with high accuracy and, unlike other attack detection mechanisms, it can also explain the operation of such attacks at the peers' side.",Explainability; Attack detection; Machine learning; Federated learning; Surrogate model; Random decision forests; Computer Science
Methods for operations planning in airport decision support systems,"Herrero, J. G.; Berlanga, A.; Molina, J. M.; Casar, J. R.",Applied Intelligence,2005,22,3,183-206,10.1007/s10791-005-6618-z,"Simulation and decision support tools can help airport ground controllers to improve surface operations and safety, leading to enhancements in the process of traffic flow management. In this paper, two planning approaches for automatically finding the best routes and sequences for demanded operations are proposed and analyzed. These approaches are integrated into a general decision support system architecture. The problem addressed is the global management of departure operations, moving aircraft along airport taxiways between gate positions and runways. Two global optimization approaches have been developed together with a suitable problem representation: a modified time-space flow algorithm and a genetic algorithm, both aimed at minimizing the total ground delay. The capability and performance of these planning techniques have been illustrated on simulated samples of ground operations at Madrid Barajas International Airport.",airport traffic control; flow management; stochastic optimization; planning; landings; Computer Science
A meta-heuristic approach to estimate and explain classifier uncertainty,"Houston, A.; Cosma, G.",Applied Intelligence,2025,55,4,20,10.1007/s10489-024-06127-0,"Trust is a crucial factor affecting the adoption of machine learning (ML) models. Qualitative studies have revealed that end-users, particularly in the medical domain, need models that can express their uncertainty in decision-making allowing users to know when to ignore the model's recommendations. However, existing approaches for quantifying decision-making uncertainty are not model-agnostic, or they rely on complex mathematical derivations that are not easily understood by laypersons or end-users, making them less useful for explaining the model's decision-making process. This work proposes a set of class-independent meta-heuristics that can characterise the complexity of an instance in terms of factors that are mutually relevant to both human and ML decision-making. The measures are integrated into a meta-learning framework that estimates the risk of misclassification. The proposed framework outperformed predicted probabilities and entropy-based methods of identifying instances at risk of being misclassified. Furthermore, the proposed approach resulted in uncertainty estimates that proves more independent of model accuracy and calibration than existing approaches. The proposed measures and framework demonstrate promise for improving model development for more complex instances and provides a new means of model abstention and explanation.",Uncertainty quantification; Meta-learning; Fuzzy clustering; Complexity; theory; Explainable AI; imbalanced data; framework; Computer Science
Explaining deep reinforcement learning decisions in complex multiagent settings: towards enabling automation in air traffic flow management,"Kravaris, T.; Lentzos, K.; Santipantakis, G.; Vouros, G. A.; Andrienko, G.; Andrienko, N.; Crook, I.; Garcia, J. M. C.; Martinez, E. I.",Applied Intelligence,2023,53,4,4063-4098,10.1007/s10489-022-03605-1,"With the objective to enhance human performance and maximize engagement during the performance of tasks, we aim to advance automation for decision making in complex and large-scale multi-agent settings. Towards these goals, this paper presents a deep multi agent reinforcement learning method for resolving demand - capacity imbalances in real-world Air Traffic Management settings with thousands of agents. Agents comprising the system are able to jointly decide on the measures to be applied to resolve imbalances, while they provide explanations on their decisions: This information is rendered and explored via appropriate visual analytics tools. The paper presents how major challenges of scalability and complexity are addressed, and provides results from evaluation tests that show the abilities of models to provide high-quality solutions and high-fidelity explanations.",Air traffic management; Multi-agent deep reinforcement learning; Interpretability; Stochastic decision trees; Explainability; Visualization; conventions; emergence; systems; Computer Science
An intelligent man-machine dialogue system based on AI planning,"Kuijpers, B.; Dockx, K.",Applied Intelligence,1998,8,3,235-245,10.1023/a:1008268417191,"We describe the modular architecture of a generic dialogue system that assists a user/operator in performing a task with a tool. This coaching system is named CALLIOPE after the Greek goddess of eloquence. It aims at being an active partner in an intelligent man-machine dialogue. The intelligent dimension of the coaching system is reflected by its ability to adapt to the user and the situation at hand. The CALLIOPE system contains an explicit user model and world model to situate its dialogue actions. A plan library allows it to follow loosely predetermined dialogue scenarios. The heart of the coaching system is an Al planning module, which plans a series of dialogue actions. We present a coherent set of three dialogue or speech actions that will make up the physical form of the man-machine communication. The use of the AI planning paradigm as a basis for man-machine interaction is motivated by research in various disciplines, as e.g., AI, Cognitive Science and Social Sciences. Starting from the man-man communication metaphor, we can view the ""thinking before speaking"" of a human communication partner as constructing an underlying plan which is responsible for the purposiveness, the organisation and the relevance of the communication. CALLIOPE has been fully implemented and tested on theoretical examples. At present, also three tailored versions of CALLIOPE are in operational use in different industrial application domains: operator support for remedying-tasks in chemical process industry, operator support for a combined task of planning, plan execution and process control in the area of chemical process development, and thirdly decision support in production scheduling.",man-machine interaction; dialogue planning; AI planning; scenarios; Computer Science
F-DQN: an optimized DQN for decision-making of generator start-up sequence after blackout,"Li, C. C.; Wu, Z. R.",Applied Intelligence,2024,54,7,5521-5535,10.1007/s10489-024-05392-3,"The decision-making of generator start-up sequence plays a pivotal role in the power system restoration process following the blackout. In this paper, an optimized deep Q-learning network (DQN) algorithm is proposed to address this challenge. The generator start-up process is modeled as a Markov Decision Process (MDP) based on its characteristics. The DQN is tasked with deciding both the generator start-up sequence and the corresponding restoration path. To address the limitations of DQN, such as low exploration efficiency and slow convergence, the study incorporates the Artificial Potential Field (APF) algorithm to refine the reward function of it. This integration results in the development of the F-DQN (APF-DQN) algorithm, which enhances training efficiency. The effectiveness of this proposed method is demonstrated through the IEEE 39-bus test system. The results reveal that the DQN algorithm is capable of efficiently solving the model of the generator start-up sequence after the blackout. Moreover, the F-DQN algorithm exhibits superior learning efficiency, faster convergence, and higher-quality optimal solutions compared to the DQN. This paper also discusses the applicability of this method under partial blackouts. When compared to other decision-making algorithms, the proposed method offers a restoration scheme that is both time-efficient and results in increased electricity generation.",Power system restoration; Generator start-up sequence; Blackout; Deep; Q-learning; Artificial potential field; power; restoration; Computer Science
Video prediction for driving scenes with a memory differential motion network model,"Li, C. M.; Chen, X. H.",Applied Intelligence,2023,53,4,4784-4800,10.1007/s10489-022-03813-9,"Accurate video prediction is critical for human drivers and self-driving cars to make informed decisions. To overcome the limitations of existing deep learning-based video prediction methods in driving scenes, such as inaccurate relative position prediction, high latency, and blurred multi-frame image prediction, we propose a Memory Differential Motion Network (MDMNet) model with a convolutional auto-encoder and a spatiotemporal information learning module, based on an improved Memory In Memory Network (MIM). One prominent characteristic of this newly constructed model is that in each time step, it can learn richer spatiotemporal representation features in each frame, and each layer computes the attention weight of the global spatiotemporal information collected, recalling and focusing on the crucial component. First, inspired by the notion of inter-frame differentiation, the network model incorporates motion filters and differential operations inside the unit, which makes it easier to extract the complex relative motion changes and trends of multiple objects in the scene. Second, an innovative global attention module between pictures and states is implemented to ensure global motion information integrity. Finally, to improve the quality of generated pictures, an adaptive convolutional auto-encoder is created. The MDMNet model outperforms other baseline prediction models in Mean Squared Error (MSE), Mean Absolute Error (MAE), Structural Similarity (SSIM), and Peak Signal to Noise Ratio (PSNR) when tested on D-2-city and BDD100K datasets.",Video prediction; Deep learning; Convolutional auto-encoder; Memory in; memory network; Spatiotemporal information; dynamics; Computer Science
Many-objective emergency aided decision making based on knowledge graph,"Li, X. X.; Zhao, T. H.; Wen, J.; Cai, X. J.",Applied Intelligence,2024,54,17-18,7733-7749,10.1007/s10489-024-05557-0,"After emergencies occur, decision-makers can reference historical cases with similar causes to take similar emergency response measures. However, information about emergencies is usually recorded and stored in textual form, and it is difficult for decision-makers to obtain effective information from large amounts of textual data and make decisions that balance various factors. To address these issues, this paper presents an emergency assisted decision-making model based on a knowledge graph and many-objective optimization. First, we preprocess the information by extracting entities to construct a knowledge graph of emergencies to make the event information more structured and easier to use. A knowledge graph is also used to narrow the range of matching historical events. Second, we construct a many-objective model with four objectives: similarity, diversity, processing time, and resource cost. Finally, combining the model characteristics, we design genetic operations for duplicate location matching and substitution removal strategies to obtain the nonrepetitive VaEA algorithm. This algorithm is used to optimize the model and generate a list of reference cases in the reduced matching range to provide rescue strategy suggestions for the current situation. The experimental results show that the algorithm outperforms the comparison algorithms under all four evaluation metrics. This indicates that the method in this paper can match the higher-quality historical emergency solutions applicable to the current decision-making situation in the case base and provide support for decision-makers to respond reasonably in emergencies.",Emergency-assisted decision-making; Knowledge graph; Optimization; Many-objective evolutionary algorithm; algorithm; construction; rescue; model; Computer Science
Personalized emotion analysis based on fuzzy multi-modal transformer model,"Liu, J.; Ang, M. C.; Chaw, J. K.; Ng, K. W.; Kor, A. L.",Applied Intelligence,2025,55,3,,10.1007/s10489-024-05954-5,"Analyzing and detecting human intensions and emotions are important means to improve the communication between users and machines in the areas of human-computer interaction (HCI) and human-robot interaction (HRI). Despite significant progress in utilizing state-of-the-art (SOTA) Transformer-based models, various obstacles persist in managing complicated input interdependencies and extracting intricate contextual semantics. Moreover, it lacks practical applicability and struggles to accurately capture and effectively manage the inherent complexity and unpredictability of human emotions. In recognition of the identified research gaps, we introduce a robust and innovative fuzzy multi-modal Transformer (FMMT) model. Our novel fuzzy Transformer model uniquely heightens the comprehension of emotional contexts by concurrently analyzing audio, visual, and text data through three distinct branches. By incorporating fuzzy mathematic theory and introducing a unique temporal embedding technique to trace the evolution of emotional states, it effectively handles the inherent uncertainty in human emotions, thereby filling a significant void in emotional AI. Building upon the FMMT model, we further explored the emotion expression approach. Furthermore, performance comparison analysis with SOTA baseline methods and detailed ablation study were performed. The results show that the proposed FMMT performs better than the baseline methods. Finally, we conducted detailed experimental verification and empirical analyses of the practicality of the designed method by verifying uncertainty emotion and analyzing emotional state transitions combined with personalized factor. Overall, our research makes a significant contribution to emotion analysis through the implementation of a novel fuzzy Transformer model. This model enhances emotion perception and advances the methods for analyzing emotional expression, thus setting an edge over prior studies. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Emotion analysis; FMMT; HCI; HRI; Personalized factor; Emotion Recognition; Human engineering; Human robot interaction; Industrial robots; Modal analysis; Computer interaction; Emotional state; Fuzzy multi-modal transformer; Human emotion; Humans-robot interactions; Multi-modal; State of the art; Transformer modeling; Semantics
Fair-satisfied-based group decision making with prospect theory under DHLTS: The application in enterprise human resource allocation,"Liu, X.; Gou, X.; Xu, Z.",Applied Intelligence,2024,54,3,2783-2797,10.1007/s10489-023-05222-y,"Group decision making (GDM) can make full use of information in the group and consider perspectives of multiple stakeholders, which matches the characteristic of enterprise human resource (HR) allocation. This paper tries to optimize the enterprise HR allocation by establishing a fair-satisfied-based GDM model with two objectives of fairness and satisfaction respectively. Firstly, double hierarchy linguistic term set is used to collect the evaluation information of decision makers (DMs). Then, two quantification methods for DMs’ satisfaction perception and fairness perception are respectively provided respectively based on the Prospect theory. Moreover, combining with the Pareto optimal idea, the fair-satisfied-based GDM model is designed and applied to deal with an enterprise HR allocation problem. Finally, some comprehensive analyses are made to validate the proposed method. Graphic abstract: (Figure presented.). © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Double hierarchy linguistic term set; Fairness; Human resource allocation; Prospect theory; Satisfaction; Decision making; Decision theory; Group theory; Information use; Linguistics; Pareto principle; Enterprise human resource; Group Decision Making; Group decision-making models; Linguistic terms; Multiple stakeholders; Resource allocation
Using extended siamese networks to provide decision support in aquaculture operations,"Mathisen, B. M.; Bach, K.; Aamodt, A.",Applied Intelligence,2021,51,11,8107-8118,10.1007/s10489-021-02251-3,"Aquaculture as an industry is quickly expanding. As a result, new aquaculture sites are being established at more exposed locations previously deemed unfit because they are more difficult and resource demanding to safely operate than are traditional sites. To help the industry deal with these challenges, we have developed a decision support system to support decision makers in establishing better plans and make decisions that facilitate operating these sites in an optimal manner. We propose a case-based reasoning system called aquaculture case-based reasoning (AQCBR), which is able to predict the success of an aquaculture operation at a specific site, based on previously applied and recorded cases. In particular, AQCBR is trained to learn a similarity function between recorded operational situations/cases and use the most similar case to provide explanation-by-example information for its predictions. The novelty of AQCBR is that it uses extended Siamese neural networks to learn the similarity between cases. Our extensive experimental evaluation shows that extended Siamese neural networks outperform state-of-the-art methods for similarity learning in this task, demonstrating the effectiveness and the feasibility of our approach.",Machine learning; Extended siamese neural networks; Siamese neural; networks; Case-based reasoning; Decision support systems; explanation; Computer Science
A hybrid multi-criteria decision making approach for assessing health-care waste management technologies based on soft likelihood function and D-numbers,"Mi, X. J.; Tian, Y.; Kang, B. Y.",Applied Intelligence,2021,51,10,6708-6727,10.1007/s10489-020-02148-7,"Health-care waste (HCW) management is an important issue, especially in developing countries. How to choose the best management technology is a challenging and open subject in this issue. Limited work has been done, but there is still a lack of a technical approach that not only takes into account multi-granular linguistic terminology, but also considers the attitude characters of decision makers (DMs). To adress the above problem, in this paper a hybrid multi-criteria decision making scheme is proposed based on soft likelihood function and D-numbers. First, the D-numbers is used to characterize complex multi-grained decision information. Secondly, a novel soft likelihood function based on power ordered weighted averaging operator (POWA) is designed to effectively take into account the DMs' preferences, which is then integrated into the proposed HCW management approach. Eventually, the effectiveness and superiority of the proposed approach is demonstrated through an application example. In particular, an intuitive advantage has been confirmed that the proposed method can adjust the gap between adjacent alternatives through decision preference to distinguish differences. This is expected to provide a reliable fault-tolerant interval for decision-making in HCW management, and further improve the reliability of the algorithm. In addition, the analysis and evaluation also confirm the reliability and practicality of the proposed technology.",Health-care waste (HCW) management; HCW treatment technology; Soft; likelihood function; D-numbers; Multi-criteria decision making; Computer Science
Machine learning for automation usage prediction: identifying critical factors in driver decision-making,"Orellana, C. B.; Rodriguez, L. R.; Huang, L. X.; Cooke, N.; Kang, Y.",Applied Intelligence,2025,55,1,21,10.1007/s10489-024-06052-2,"Inappropriate automation usage is a common cause of incidents in semi-autonomous vehicles. Predicting and understanding the factors influencing this usage is crucial for safety. This study aims to evaluate machine learning models in predicting automation usage from behavioral data; and analyze how workload, environment, performance, and risk influence automation usage for different conditions. An existing dataset from a driving simulator study with 16 participants across four automation conditions (Speed High, Speed Low, Full High, and Full Low) was used. Five machine learning models were trained, using different splitting techniques, to predict automation usage. The input to these models were features related to workload, environment, performance, and risk, pre-processed and optimized to reduce computational time. The best-performing model was used to analyze the impact of each factor on automation usage. Random Forest models consistently demonstrated the highest prediction power, with accuracy exceeding 79% for all conditions, providing a robust foundation for enhancing vehicle safety and optimizing human-automation collaboration. Additionally, factors influencing automation usage ranked: Workload>Environment>Performance>Risk., contrasting with literature on pre-drive intentions to use automation. This study offers insights into real-time prediction of automation usage in semi-autonomous vehicles and quantifies the importance of key factors across different automation conditions. The findings reveal variations in prediction accuracy and factor importance across conditions, providing valuable implications for adaptive automated driving system design. Additionally, the hierarchy of factors influencing automation usage reveals a contrast between real-time decisions and pre-drive intentions, emphasizing the need for adaptive systems in dynamic driving conditions.",Automation usage prediction; Varied automation conditions; Machine; learning; Factors influencing automation usage; user acceptance; trust; humans; misuse; disuse; utaut; Computer Science
Decision making for autonomous vehicles in highway scenarios using Harmonic SK Deep SARSA,"Rais, M. S.; Boudour, R.; Zouaidia, K.; Bougueroua, L.",Applied Intelligence,2023,53,3,2488-2505,10.1007/s10489-022-03357-y,"The complexity of taking decisions for an autonomous vehicle (AV) to avoid road accident fatalities, provide safety, comfort, and reduce traffic raises the need for improvements in the field of decision making. To solve these challenges, many algorithms and techniques were applied, and the most common ones were reinforcement learning (RL) algorithms combined with deep learning techniques. Therefore, in this paper we proposed a novel extension of the popular ""SARSA"" (State-Action-Reward-State-Action) RL technique called ""Harmonic SK Deep SARSA"" that takes advantage of the stability which SARSA algorithm provides and uses the notion of similar and cumulative states saved in an alternative memory to enhance the stability of the algorithm and achieve remarkable performance that SARSA could not accomplish due to its on policy nature. Through the investigation of our novel extension the adaptability of the algorithm to unexpected situations during learning and to unforeseen changes in the environment was proved while reducing the computational load in the learning process and increasing the convergence rate that plays a key role in upgrading decision making application that require numerous real time consecutive decisions, including autonomous vehicles, industrial robots, gaming, aerial navigation... The novel algorithm was tested in a gym environment simulator called ""Highway-env"" with multiple highway situations (multiple lanes configurations, highway with dynamic number of lanes (from 4-lane to 2-lane, from 4-lane to 6-lane), merge) with numerous dynamic obstacles. For the purpose of comparison, we used a benchmark of cutting edge algorithms known for their prominent performance. The experimental results showed that the proposed algorithm outperformed the comparison algorithms in learning stability and performance that were validated by the following metrics: average loss value per episode, average accuracy per episode, maximum speed value reached per episode, average speed per episode, and the total reward per episode.",Reinforcement learning; Deep learning; Human inspired meta-heuristics; Decision making; Autonomous vehicles; Computer Science
